Name,Platform,Year_of_Release,Genre,Critic_Score,User_Score,Rating
NBA 2K15,PS4,2014,Sports,83,7.0,E
Midnight Club: Los Angeles,PS3,2008,Racing,82,8.2,T
The Sims: Bustin' Out,PS2,2003,Simulation,81,8.4,T
LEGO Harry Potter: Years 1-4,Wii,2010,Action,79,8.0,E10+
Call of Duty: Infinite Warfare,XOne,2016,Shooter,78,3.1,M
Madden NFL 16,XOne,2015,Sports,84,6.1,E
Tom Clancy's Rainbow Six: Vegas 2,X360,2008,Shooter,82,7.8,M
Need for Speed Carbon: Own the City,PSP,2006,Racing,73,7.9,E10+
Dragon Ball Z: Budokai 2,PS2,2003,Fighting,66,8.2,T
pro evolution soccer 2011,PS3,2010,Sports,77,6.8,E
ATV Offroad Fury,PS2,2001,Racing,82,8.4,E
Need for Speed: ProStreet,PS2,2007,Racing,62,6.2,E10+
Halo: Combat Evolved Anniversary,X360,2011,Shooter,82,8.1,M
Guitar Hero,PS2,2005,Misc,91,8.7,T
Madden NFL 11,PS3,2010,Sports,83,6.1,E
Dead Island,X360,2011,Action,71,6.9,M
Half-Life 2,PC,2004,Shooter,96,9.1,M
The Incredibles,PS2,2004,Action,62,7.6,T
Madden NFL 08,X360,2007,Sports,85,6.4,E
Tony Hawk's Underground 2,PS2,2004,Sports,83,8.8,T
Zumba Fitness,X360,2010,Sports,42,5.5,E
Madden NFL 10,PS3,2009,Sports,85,6.8,E
Midnight Club: Los Angeles,X360,2008,Racing,81,8.5,T
Kinect: Disneyland Adventures,X360,2011,Misc,73,2.9,E10+
WWE SmackDown vs Raw 2008,PS2,2007,Fighting,71,7.2,T
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,89,9.0,E10+
Resident Evil - Code: Veronica X,PS2,2001,Action,84,8.4,M
NBA 2K16,XOne,2015,Sports,86,6.2,E10+
Kinect Sports: Season Two,X360,2011,Sports,66,6.5,E
James Bond 007: Everything or Nothing,PS2,2004,Shooter,84,9.1,T
Guild Wars 2,PC,2012,Action,90,7.9,T
Paper Mario: Sticker Star,3DS,2012,Role-Playing,75,5.6,E
Batman: Arkham Origins,PS3,2013,Action,76,7.7,T
LEGO Star Wars: The Complete Saga,PS3,2007,Action,80,6.7,E10+
Need for Speed Underground 2,XB,2004,Racing,77,8.7,E
Pro Evolution Soccer 2010,PS3,2009,Sports,78,6.7,E
FIFA Soccer 09,PS2,2008,Sports,82,6.9,E
